Total papers: 126
ID: 0 | Title: Monitoring data of marine turtles on the Togolese coast during 2012–2013
ID: 80 | Title: Genetic consequence of widespread plantations of Cryptomeria japonica var. sinensis in Southern China: implications for afforestation strategies under climate change
ID: 81 | Title: A Maghreb Magpie Pica pica mauritanica winters in two oases, at the mouth of the Sahara at Aurès Mountains (Biskra and Batna, Algeria): Maghreb Magpie Pica pica …
ID: 82 | Title: Legacy over a thousand years: Canopy soil of old-growth forest fosters rich and unique invertebrate diversity that is slow to recover from human disturbance
ID: 83 | Title: Incredible Host Diversity and Regional Potential Distribution of an Oriental Parasitic Plant (Taxillus yadoriki)
ID: 84 | Title: Checklist of Fish Hosts of Species of Contracaecum Railliet & Henry, 1912 (Nematoda: Ascaridida: Anisakidae) in Iraq
ID: 85 | Title: Mapping the potential distributions of etiological agent, vectors, and reservoirs of Japanese Encephalitis in Asia and Australia
ID: 86 | Title: Mapping the landscape pool of ardeid species to landscape structure associated with Japanese encephalitis virus in Australia
ID: 87 | Title: Predicted shifts in suitable habitat of interacting benthic species in a warmer and invaded Canadian Arctic
ID: 88 | Title: Color Polymorphism of Unfeathered Parts of the Great White Egret Ardea alba alba in Europe: An Analysis of the Internet Images
ID: 89 | Title: Geographical Distribution of Mauremys sinensis, Mauremys reevesii, and Their Hybrids in South Korea
ID: 90 | Title: 基于MaxEnt模型预测中华秋沙鸭在中国东北地区的潜在分布区
ID: 91 | Title: Collecting information on the pelagic phase of marine turtles from at-sea observations: The case of purse seine fisheries in the Indian Ocean
ID: 92 | Title: Patterns, biases and prospects in the distribution and diversity of Neotropical snakes
ID: 93 | Title: Species distribution modeling and molecular markers suggest longitudinal range shifts and cryptic northern refugia of the typical calcareous grassland species Hippocrepis comosa (horseshoe vetch)
ID: 94 | Title: Development of novel high-resolution melting markers for the assessment of hybridization between Mauremys sinensis and Mauremys reevesii in South Korea
ID: 95 | Title: Diversity of waterbirds around Ekasoghi mangrove area, Sumenep, with the first record of Australian tern (Gelochelidon macrotarsa) from Madura Island, Indonesia
ID: 96 | Title: Evaluation of the invasion potential of monk parakeet, Myiopsitta monachus, in Natural Protected Areas in Mexico
ID: 97 | Title: Where Are We Going Now? The Current and Future Distributions of the Monk Parakeet (Myiopsitta monachus) and Eurasian Collared Dove (Streptopelia decaocto) in a Megalopolis
ID: 98 | Title: Aves de los palmares de Butiá (Butia odorata) en Uruguay: datos de cinco años de muestreos
ID: 99 | Title: Distribution of sika deer (Cervus nippon) and the bioclimatic impact on their habitats in South Korea
ID: 100 | Title: Deeply digging the interaction effect in multiple linear regressions using a fractional-power interaction term
ID: 101 | Title: The Genomic Footprints of the Fall and Recovery of the Crested Ibis
ID: 102 | Title: Prediction of present and future distribution of the Schlegel’s Japanese gecko (Gekko japonicus) using MaxEnt modeling
ID: 103 | Title: Allopatric Speciation and Interspecific Gene Flow Driven by Niche Conservatism of Diploderma Tree Lizards in Taiwan
ID: 104 | Title: A Checklist of the Lycidae (Coleoptera) of Colombia with a key to the genera
ID: 105 | Title: State of knowledge of the Anthribidae (Insecta: Coleoptera: Curculionoidea) in Colombia with a key to genera
ID: 106 | Title: New South American records of the Lestremiinae (Diptera: Cecidomyiidae), with an identification key to the Neotropical genera
ID: 107 | Title: Disentangling the Impacts of Speciation, Sympatry and the Island Effect on the Morphology of Seven Hynobius sp. Salamanders
ID: 108 | Title: A new, rare, small-ranged, and endangered mountain snake of the genus Elaphe from the Southern Levant
ID: 109 | Title: Herpetological Update from Arno Atoll, Republic of the Marshall Islands
ID: 110 | Title: The regulation of alien species in South Africa
ID: 111 | Title: Research applications of primary biodiversity databases in the digital age
ID: 112 | Title: DO Toxic Invasive Prey Become a Toxin Source for Native Consumers?
ID: 113 | Title: Low Density of Top Predators (Seabirds and Marine Mammals) in the High Arctic Pack Ice
ID: 114 | Title: Geographical and elevational distributions of the Black-breasted Leaf Turtle, Geoemyda spengleri (Gmelin, 1789)(Testudines: Geoemydidae)
ID: 115 | Title: Pest categorisation of Mimela testaceipes
ID: 116 | Title: A new species of Pimelodella Eigenmann & Eigenmann, 1888 (Siluriformes: Heptapteridae) from the Orinoco River basin
ID: 117 | Title: Taxonomic Status and the Phylogenetic Placement of Amphisbaena leucocephala Peters, 1878 (Squamata, Amphisbaenidae)
ID: 118 | Title: Unusual records of deepwater teleosteans trawled off the western coast of Mexico
ID: 119 | Title: Trophic ecology and niche overlap of two sympatric species of Rhamdia (Siluriformes, Heptapteridae) from northeast Oaxaca, Mexico
ID: 120 | Title: Noteworthy records of aquatic birds in the state of Queretaro, Mexico
ID: 121 | Title: Integrated phylogenetic analyses reveal the evolutionary, biogeographic, and diversification history of Asian warty treefrog genus Theloderma (Anura, Rhacophoridae)
ID: 122 | Title: Records for the Mourning Gecko (Lepidodactylus lugubris) and its expansion in Costa Rica
ID: 123 | Title: First record of the alien gecko Lepidodactylus lugubris (Duméril &; Bibron, 1836) (Gekkonidae) in the Cabo Blanco Absolute Natural Reserve, Costa Rica
ID: 124 | Title: Acanthopagrus oconnorae , a new species of seabream (Sparidae) from the Red Sea
ID: 125 | Title: Occurrence of Helminth Parasites in some Aquatic Birds in Bahr Al-Najaf Depression, Mid Iraq
